binomial,valid,Order,suborder,Family,length,lengthmeasure,conversion,intercept,slope,logmass,mass,intree,nameintree
Amphisbaena talisiae,yes,Squamata,Amphisbaenia,Amphisbaenidae,105.0,SVL,Amphisbaenidae,-8.647,4.007,-0.55,0.3,no,NA
Cynisca degrysi,yes,Squamata,Amphisbaenia,Amphisbaenidae,107.0,SVL,Amphisbaenidae,-8.647,4.007,-0.52,0.3,no,NA
Amphisbaena tragorrhectes,yes,Squamata,Amphisbaenia,Amphisbaenidae,110.0,SVL,Amphisbaenidae,-8.647,4.007,-0.47,0.3,no,NA
Amphisbaena slevini,yes,Squamata,Amphisbaenia,Amphisbaenidae,120.0,SVL,Amphisbaenidae,-8.647,4.007,-0.34,0.5,no,NA
Amphisbaena heathi,yes,Squamata,Amphisbaenia,Amphisbaenidae,124.0,SVL,Amphisbaenidae,-8.647,4.007,-0.26,0.6,no,NA
Cynisca haugi,yes,Squamata,Amphisbaenia,Amphisbaenidae,124.0,SVL,Amphisbaenidae,-8.647,4.007,-0.26,0.6,no,NA
Cynisca rouxae,yes,Squamata,Amphisbaenia,Amphisbaenidae,124.0,SVL,Amphisbaenidae,-8.647,4.007,-0.26,0.6,no,NA
Amphisbaena maranhensis,yes,Squamata,Amphisbaenia,Amphisbaenidae,125.0,SVL,Amphisbaenidae,-8.647,4.007,-0.24,0.6,no,NA
Amphisbaena carvalhoi,yes,Squamata,Amphisbaenia,Amphisbaenidae,129.0,SVL,Amphisbaenidae,-8.647,4.007,-0.19,0.6,no,NA
Chirindia rondoensis,yes,Squamata,Amphisbaenia,Amphisbaenidae,129.0,SVL,Amphisbaenidae,-8.647,4.007,-0.19,0.6,no,NA
Cynisca manei,yes,Squamata,Amphisbaenia,Amphisbaenidae,129.0,SVL,Amphisbaenidae,-8.647,4.007,-0.19,0.6,no,NA
Amphisbaena hogei,yes,Squamata,Amphisbaenia,Amphisbaenidae,130.0,SVL,Amphisbaenidae,-8.647,4.007,-0.18,0.7,no,NA
Amphisbaena mensae,yes,Squamata,Amphisbaenia,Amphisbaenidae,130.0,SVL,Amphisbaenidae,-8.647,4.007,-0.18,0.7,no,NA
Cynisca bifrontalis,yes,Squamata,Amphisbaenia,Amphisbaenidae,131.0,SVL,Amphisbaenidae,-8.647,4.007,-0.16,0.7,no,NA
Amphisbaena brevis,yes,Squamata,Amphisbaenia,Amphisbaenidae,137.0,SVL,Amphisbaenidae,-8.647,4.007,-0.09,0.8,no,NA
Amphisbaena albocingulata,yes,Squamata,Amphisbaenia,Amphisbaenidae,138.0,SVL,Amphisbaenidae,-8.647,4.007,-0.07,0.8,no,NA
Cynisca senegalensis,yes,Squamata,Amphisbaenia,Amphisbaenidae,138.0,SVL,Amphisbaenidae,-8.647,4.007,-0.07,0.8,no,NA
Amphisbaena slateri,yes,Squamata,Amphisbaenia,Amphisbaenidae,139.0,SVL,Amphisbaenidae,-8.647,4.007,-0.06,0.9,no,NA
Amphisbaena miringoera,yes,Squamata,Amphisbaenia,Amphisbaenidae,142.0,SVL,Amphisbaenidae,-8.647,4.007,-0.02,0.9,no,NA
Cynisca oligopholis,yes,Squamata,Amphisbaenia,Amphisbaenidae,147.0,SVL,Amphisbaenidae,-8.647,4.007,0.04,1.1,no,NA
Amphisbaena crisae,yes,Squamata,Amphisbaenia,Amphisbaenidae,149.0,SVL,Amphisbaenidae,-8.647,4.007,0.06,1.2,no,NA
Agamodon compressus,yes,Squamata,Amphisbaenia,Trogonophiidae,103.0,SVL,Amphisbaenia,-5.858,2.943,0.07,1.2,no,NA
Amphisbaena neglecta,yes,Squamata,Amphisbaenia,Amphisbaenidae,150.0,SVL,Amphisbaenidae,-8.647,4.007,0.07,1.2,no,NA
Amphisbaena hastata,yes,Squamata,Amphisbaenia,Amphisbaenidae,152.0,SVL,Amphisbaenidae,-8.647,4.007,0.10,1.2,yes,Amphisbaena hastata
Amphisbaena pericensis,yes,Squamata,Amphisbaenia,Amphisbaenidae,153.0,SVL,Amphisbaenidae,-8.647,4.007,0.11,1.3,no,NA
Amphisbaena vanzolinii,yes,Squamata,Amphisbaenia,Amphisbaenidae,153.0,SVL,Amphisbaenidae,-8.647,4.007,0.11,1.3,no,NA
Chirindia ewerbecki,yes,Squamata,Amphisbaenia,Amphisbaenidae,153.0,SVL,Amphisbaenidae,-8.647,4.007,0.11,1.3,no,NA
Cynisca leonina,yes,Squamata,Amphisbaenia,Amphisbaenidae,155.0,SVL,Amphisbaenidae,-8.647,4.007,0.13,1.3,no,NA
Amphisbaena leeseri,yes,Squamata,Amphisbaenia,Amphisbaenidae,156.0,SVL,Amphisbaenidae,-8.647,4.007,0.14,1.4,yes,Amphisbaena leeseri
Amphisbaena lumbricalis,yes,Squamata,Amphisbaenia,Amphisbaenidae,156.0,SVL,Amphisbaenidae,-8.647,4.007,0.14,1.4,no,NA
Amphisbaena caiari,yes,Squamata,Amphisbaenia,Amphisbaenidae,157.0,SVL,Amphisbaenidae,-8.647,4.007,0.15,1.4,no,NA
Chirindia langi,yes,Squamata,Amphisbaenia,Amphisbaenidae,158.0,SVL,Amphisbaenidae,-8.647,4.007,0.16,1.5,no,NA
Cynisca liberiensis,yes,Squamata,Amphisbaenia,Amphisbaenidae,158.0,SVL,Amphisbaenidae,-8.647,4.007,0.16,1.5,no,NA
Cynisca gansi,yes,Squamata,Amphisbaenia,Amphisbaenidae,158.5,SVL,Amphisbaenidae,-8.647,4.007,0.17,1.5,no,NA
Chirindia swynnertoni,yes,Squamata,Amphisbaenia,Amphisbaenidae,160.0,SVL,Amphisbaenidae,-8.647,4.007,0.18,1.5,yes,Chirindia swynnertoni
Cynisca kraussi,yes,Squamata,Amphisbaenia,Amphisbaenidae,160.0,SVL,Amphisbaenidae,-8.647,4.007,0.18,1.5,no,NA
Amphisbaena persephone,yes,Squamata,Amphisbaenia,Amphisbaenidae,161.0,SVL,Amphisbaenidae,-8.647,4.007,0.20,1.6,no,NA
Cynisca williamsi,yes,Squamata,Amphisbaenia,Amphisbaenidae,161.0,SVL,Amphisbaenidae,-8.647,4.007,0.20,1.6,no,NA
Amphisbaena silvestrii,yes,Squamata,Amphisbaenia,Amphisbaenidae,162.0,SVL,Amphisbaenidae,-8.647,4.007,0.21,1.6,yes,Amphisbaena silvestrii
Amphisbaena uroxena,yes,Squamata,Amphisbaenia,Amphisbaenidae,163.0,SVL,Amphisbaenidae,-8.647,4.007,0.22,1.6,no,NA
Amphisbaena mitchelli,yes,Squamata,Amphisbaenia,Amphisbaenidae,165.0,SVL,Amphisbaenidae,-8.647,4.007,0.24,1.7,no,NA
Amphisbaena sanctaeritae,yes,Squamata,Amphisbaenia,Amphisbaenidae,165.0,SVL,Amphisbaenidae,-8.647,4.007,0.24,1.7,no,NA
Amphisbaena carlgansi,yes,Squamata,Amphisbaenia,Amphisbaenidae,168.0,SVL,Amphisbaenidae,-8.647,4.007,0.27,1.9,yes,Amphisbaena carlgansi
Amphisbaena nigricauda,yes,Squamata,Amphisbaenia,Amphisbaenidae,168.0,SVL,Amphisbaenidae,-8.647,4.007,0.27,0.2,no,NA
Cynisca feae,yes,Squamata,Amphisbaenia,Amphisbaenidae,168.0,SVL,Amphisbaenidae,-8.647,4.007,0.27,1.9,no,NA
Amphisbaena gracilis,yes,Squamata,Amphisbaenia,Amphisbaenidae,170.0,SVL,Amphisbaenidae,-8.647,4.007,0.29,2.0,no,NA
