mountain,metres,feet,range,location_notes
Mount Everest,"8,848","29,029",Himalayas  ,Nepal/China
K2,"8,611","28,251",Karakoram  ,India/Pakistan
Kangchenjunga,"8,586","28,169",Himalayas  ,Nepal/India
Lhotse,"8,516","27,940",Himalayas  ,Nepal – Climbers ascend Lhotse Face in climbing Everest
Makalu,"8,485","27,838",Himalayas  ,Nepal
Cho Oyu,"8,188","26,864",Himalayas  ,"Nepal – Considered ""easiest"" eight-thousander"
Dhaulagiri,"8,167","26,795",Himalayas  ,Nepal – Presumed world's highest from 1808-1838
Manaslu,"8,163","26,781",Himalayas  ,Nepal
Nanga Parbat,"8,126","26,660",Himalayas  ,Pakistan
Annapurna,"8,091","26,545",Himalayas  ,Nepal – First eight-thousander to be climbed (1950)
Gasherbrum I (Hidden peak; K5),"8,080","26,509",Karakoram  ,Pakistan /China – Originally named K5
Broad Peak,"8,051","26,414",Karakoram  ,Pakistan /China
Gasherbrum II (K4),"8,035","26,362",Karakoram  ,Pakistan/China – Originally named K4
Shishapangma,"8,027","26,335",Himalayas  ,Tibet
Gasherbrum III,"7,952","26,089",Karakoram  ,Pakistan
Gyachung Kang,"7,952","26,089",Himalayas  ,Nepal (Khumbu)/China
Annapurna II,"7,937","26,040",Himalayas  ,Nepal
Gasherbrum IV (K3),"7,932","26,024",Karakoram  ,Pakistan
Himalchuli,"7,893","25,896",Himalayas  ,"Manaslu, Nepal"
Distaghil Sar,"7,885","25,869",Karakoram  ,Pakistan
Ngadi Chuli,"7,871","25,823",Himalayas  ,"Manaslu, Nepal"
Nuptse,"7,861","25,791",Himalayas  ,"Everest Massif, Nepal"
Khunyang Chhish,"7,852","25,761",Karakoram  ,Pakistan
Masherbrum (K1),"7,821","25,659",Karakoram  ,Pakistan – Originally named K1
Nanda Devi,"7,816","25,643",Himalayas  ,India (Uttarakhand)
Chomo Lonzo,"7,804","25,604",Himalayas  ,"Makalu Massiff, Nepal/China"
Batura Sar,"7,795","25,574",Karakoram  ,Pakistan
Kanjut Sar,"7,790","25,558",Karakoram  ,Pakistan
Rakaposhi,"7,788","25,551",Karakoram  ,Pakistan
Namcha Barwa,"7,782","25,531",Himalayas  ,China
Kamet,"7,756","25,446",Himalayas  ,India (Uttarakhand)
Saltoro Kangri,"7,742","25,400",Karakoram  ,India (Jammu and Kashmir)/Pakistan
Jannu,"7,710","25,295",Himalayas  ,"Kangchenjunga, Nepal"
Tirich Mir,"7,708","25,289",Hindu Kush  ,Pakistan – #1 in Hindu Kush
Molamenqing,"7,703","25,272",Himalayas  ,"Shishapangma group, China"
Gurla Mandhata,"7,694","25,243",Himalayas (Nalakankar)  ,China
Saser Kangri,"7,672","25,171",Karakoram  ,Pakistan / India (Jammu and Kashmir)
